"prompt","completion"
"Line Tray12","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 1']],'commands':['robot(x0) & bakingSheet(x1) -> line(x0, x1, Tray12).']}"
"cover bt24","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 1']],'commands':['robot(x0) & bakingSheet(x1) -> line(x0, x1, Bt24).']}"
"Line tray BakingTray1 with sheet BakingSheet2","{'type':'command','expressions':[[]],'commands':['robot(x0) & bakingSheet(BakingSheet2) & bakingTray(BakingTray1) -> line(x0, BakingSheet2, BakingTray1).']}"
"Line tray BakingTray1 with BakingSheet2","{'type':'command','expressions':[[]],'commands':['robot(x0) & bakingTray(BakingTray1) -> line(x0, BakingSheet2, BakingTray1).']}"
"Line BakingTray1 with BakingSheet2","{'type':'command','expressions':[[]],'commands':['robot(x0) -> line(x0, BakingSheet2, BakingTray1).']}"
"Line a tray with BakingSheet2","{'type':'command','expressions':[['|exists x2 (bakingTray(x2)).| >= 1']],'commands':['robot(x0) & bakingTray(x2) -> line(x0, BakingSheet2, x2).']}"
"Line a tray with sheet BakingSheet2","{'type':'command','expressions':[['|exists x2 (bakingTray(x2)).| >= 1']],'commands':['robot(x0) & bakingSheet(BakingSheet2) & bakingTray(x2) -> line(x0, BakingSheet2, x2).']}"
"Cover Tray1 with Sheet2","{'type':'command','expressions':[[]],'commands':['robot(x0) -> line(x0, Sheet2, Tray1).']}"
"Cover Tray1 with baking sheet Sheet22","{'type':'command','expressions':[[]],'commands':['robot(x0) & bakingSheet(Sheet22) -> line(x0, Sheet22, Tray1).']}"
"With Sheet2 cover Tray1","{'type':'command','expressions':[[]],'commands':['robot(x0) -> line(x0, Sheet2, Tray1).']}"
"Using Sheet2 cover tray Tray1","{'type':'command','expressions':[[]],'commands':['robot(x0) & bakingTray(Tray1) -> line(x0, Sheet2, Tray1).']}"
"Line trays Tray1, Tray2 with sheets Sheet1 and Sheet2","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & bakingSheet(Sheet1) & bakingTray(Tray1) -> line(x0, Sheet1, Tray1).','robot(x0) & bakingSheet(Sheet2) & bakingTray(Tray2) -> line(x0, Sheet2, Tray2).']}"
"Line Tray1 with Sheet1 and Tray2 with Sheet2","{'type':'command','expressions':[[],[]],'commands':['robot(x0) -> line(x0, Sheet1, Tray1).','robot(x0) -> line(x0, Sheet2, Tray2).']}"
"Line several baking trays","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 5','|exists x2 (bakingTray(x2)).| >= 5']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Line some baking trays","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 4','|exists x2 (bakingTray(x2)).| >= 4']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Line a couple baking trays","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 2','|exists x2 (bakingTray(x2)).| >= 2']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Cover a baking tray with a baking sheet","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 1','|exists x2 (bakingTray(x2)).| >= 1']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Cover a tray with a baking sheet","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 1','|exists x2 (bakingTray(x2)).| >= 1']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Cover Tray2 with a sheet","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 1'],'commands':['robot(x0) & bakingSheet(x1) -> line(x0, x1, Tray2).']}"
"Cover 3 trays with paper","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 3','|exists x2 (bakingTray(x2)).| >= 3']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Cover many trays with baking sheets","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 10','|exists x2 (bakingTray(x2)).| >= 10']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Cover many trays","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 10','|exists x2 (bakingTray(x2)).| >= 10']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Line a few baking trays","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 3','|exists x2 (bakingTray(x2)).| >= 3']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Line a few trays with paper","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 3','|exists x2 (bakingTray(x2)).| >= 3']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Cover few trays with paper","{'type':'command','expressions':[['|exists x1 (bakingSheet(x1)).| >= 2','|exists x2 (bakingTray(x2)).| >= 2']],'commands':['robot(x0) & bakingSheet(x1) & bakingTray(x2) -> line(x0, x1, x2).']}"
"Mix the contents of the bowl using a whisk","{'type':'command','expressions':[['|exists x1 (bowl(x1)).| >= 1','|exists x2 (whisk(x2)).| >= 1']],'commands':['robot(x0) & bowl(x1) & whisk(x2) -> mix(x0, x1, x2).']}"
"Blend the contents of the bowl using a whisk","{'type':'command','expressions':[['|exists x1 (bowl(x1)).| >= 1','|exists x2 (whisk(x2)).| >= 1']],'commands':['robot(x0) & bowl(x1) & whisk(x2) -> mix(x0, x1, x2).']}"
"Mix a large bowl","{'type':'command','expressions':[['|exists x1 (largeBowl(x1)).| >= 1']],'commands':['robot(x0) & largeBowl(x1) & whisk(x2) -> mix(x0, x1, x2).']}"
"Mix 2 large bowls","{'type':'command','expressions':[['|exists x1 (largeBowl(x1)).| >= 2']],'commands':['robot(x0) & largeBowl(x1) & whisk(x2) -> mix(x0, x1, x2).']}"
"Mix 2 medium bowls with whisk Whisk1","{'type':'command','expressions':[['|exists x1 (mediumBowl(x1)).| >= 2']],'commands':['robot(x0) & mediumBowl(x1) & whisk(Whisk1) -> mix(x0, x1, Whisk1).']}"
"Blend 2 bowls with Whisk1","{'type':'command','expressions':[['|exists x1 (bowl(x1)).| >= 2']],'commands':['robot(x0) & bowl(x1) -> mix(x0, x1, Whisk1).']}"
"Mix LargeBowl1","{'type':'command','expressions':[[]],'commands':['robot(x0) & whisk(x2) -> mix(x0, LargeBowl1, x2).']}"
"Mix LargeBowl1 with whisk Whisk1","{'type':'command','expressions':[[]],'commands':['robot(x0) & whisk(Whisk1) -> mix(x0, LargeBowl1, Whisk1).']}"
"Mix LargeBowl2 with Whisk1","{'type':'command','expressions':[[]],'commands':['robot(x0) -> mix(x0, LargeBowl2, Whisk1).']}"
"blend bowl2 with a whisk","{'type':'command','expressions':[['|exists x2 (whisk(x2)).| >= 1']],'commands':['robot(x0) & whisk(x2) -> mix(x0, LargeBowl2, x2).']}"
"Mix LargeBowl9 using whisk Whisk1","{'type':'command','expressions':[[]],'commands':['robot(x0) & whisk(Whisk1) -> mix(x0, LargeBowl9, Whisk1).']}"
"blend LargeBowl19 using whisk with name Whisk2","{'type':'command','expressions':[[]],'commands':['robot(x0) & whisk(Whisk2) -> mix(x0, LargeBowl19, Whisk2).']}"
"Blend LargeBowl1 with Whisk1","{'type':'command','expressions':[[]],'commands':['robot(x0) -> mix(x0, LargeBowl1, Whisk1).']}"
"Mix LargeBowl1 and LargeBowl2","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & whisk(x2) -> mix(x0, LargeBowl1, x2).','robot(x0) & whisk(x2) -> mix(x0, LargeBowl2, x2).']}"
"Mix b1 and b2","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & whisk(x2) -> mix(x0, B1, x2).','robot(x0) & whisk(x2) -> mix(x0, B2, x2).']}"
"Mix LB1, LB2 and LB3","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & whisk(x2) -> mix(x0, LB1, x2).','robot(x0) & whisk(x2) -> mix(x0, LB2, x2).','robot(x0) & whisk(x2) -> mix(x0, LB3, x2).']}"
"Mix bowls LargeBowl1 and LargeBowl2","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & bowl(LargeBowl1) & whisk(x2) -> mix(x0, x1, LargeBowl1).','robot(x0) & bowl(LargeBowl2) & whisk(x2) -> mix(x0, x1, LargeBowl2).']}"
"Mix bowl","{'type':'command','expressions':[['|exists x1 (bowl(x1)).| >= 1']],'commands':['robot(x0) & bowl(x1) & whisk(x2) -> mix(x0, x1, x2).']}"
"Mix all bowls","{'type':'command','expressions':[['|exists x1 (bowl(x1)).|']],'commands':['robot(x0) & bowl(x1) & whisk(x2) -> mix(x0, x1, x2).']}"
"Mix every large bowl","{'type':'command','expressions':[['|exists x1 (largeBowl(x1)).|']],'commands':['robot(x0) & largeBowl(x1) & whisk(x2) -> mix(x0, x1, x2).']}"
"Mix all bowls with a whisk","{'type':'command','expressions':[['|exists x1 (bowl(x1)).|,'|exists x2 (whisk(x2)).| >= 1']],'commands':['robot(x0) & bowl(x1) & whisk(x2) -> mix(x0, x1, x2).']}"
"Mix contents of LargeBowl1 with Whisk1","{'type':'command','expressions':[[]],'commands':['robot(x0) -> mix(x0, LargeBowl1, Whisk1).']}"
"Mix contents of LargeBowl1 with whisk Whisk1","{'type':'command','expressions':[[]],'commands':['robot(x0) & whisk(Whisk1) -> mix(x0, LargeBowl1, Whisk1).']}"
"Mix bowl LargeBowl1","{'type':'command','expressions':[[]],'commands':['robot(x0) & bowl(LargeBowl1) & whisk(x2) -> mix(x0, LargeBowl1, x2).']}"
"Blend bowl LargeBowl1","{'type':'command','expressions':[[]],'commands':['robot(x0) & bowl(LargeBowl1) & whisk(x2) -> mix(x0, LargeBowl1, x2).']}"
"Blend bowl named largeBowl1","{'type':'command','expressions':[[]],'commands':['robot(x0) & bowl(LargeBowl1) & whisk(x2) -> mix(x0, LargeBowl1, x2).']}"
"Move contents of MediumBowl1 to MediumBowl2","{'type':'command','expressions':[[]],'commands':['robot(x0) -> transfer(x0, MediumBowl1, MediumBowl2).']}"
"Transfer MediumBowl1 to LargeBowl2","{'type':'command','expressions':[[]],'commands':['robot(x0) -> transfer(x0, MediumBowl1, LargeBowl2).']}"
"Transfer bowl MediumBowl1 to LargeBowl2","{'type':'command','expressions':[[]],'commands':['robot(x0) & bowl(MediumBowl1) -> transfer(x0, MediumBowl1, LargeBowl2).']}"
"transfer bt2 to bt4","{'type':'command','expressions':[[]],'commands':['robot(x0) -> transfer(x0, Bt2, Bt4).']}"
"Transfer bowl smallBowl1 to another bowl largeBowl21","{'type':'command','expressions':[[]],'commands':['robot(x0) & bowl(SmallBowl1) & bowl(LargeBowl21) -> transfer(x0, SmallBowl1, LargeBowl21).']}"
"Transfer bowl B1 to tray T1","{'type':'command','expressions':[[]],'commands':['robot(x0) & bowl(B1) & bakingTray(T1) -> transfer(x0, B1, T1).']}"
"Transfer bowl B1 to any baking tray","{'type':'command','expressions':[['|exists x2 (bakingTray(x2)).| >= 1]']],'commands':['robot(x0) & bowl(B1) & bakingTray(x2) -> transfer(x0, B1, x2).']}"
"Transfer contents of MediumBowl1 to MediumBowl2","{'type':'command','expressions':[[]],'commands':['robot(x0) -> transfer(x0, MediumBowl1, MediumBowl2).']}"
"Move contents of medium bowl mediumBowl01 to mediumBowl02","{'type':'command','expressions':[[]],'commands':['robot(x0) & mediumBowl(MediumBowl01) -> transfer(x0, MediumBowl1, MediumBowl02).']}"
"Shift bowl MediumBowl1 to a baking tray","{'type':'command','expressions':[['|exists x2 (bakingTray(x2)).'| >= 1]],'commands':['robot(x0) & bowl(MediumBowl1) & bakingTray(x2) -> transfer(x0, MediumBowl1, x2).']}"
"Transfer contents of MediumBowl1 and LargeBowl5 to MediumBowl2","{'type':'command','expressions':[[],[]],'commands':['robot(x0) -> transfer(x0, MediumBowl1, MediumBowl2).','robot(x0) -> transfer(x0, LargeBowl5, MediumBowl2).']}"
"Transfer SmallBowl1, smallBowl2 and mediumBowl1 to LargeBowl2","{'type':'command','expressions':[[],[],[]],'commands':['robot(x0) -> transfer(x0, SmallBowl1, LargeBowl2).','robot(x0) -> transfer(x0, SmallBowl2, LargeBowl2).','robot(x0) -> transfer(x0, MediumBowl1, LargeBowl2).']}"
"Shift the contents of MediumBowl1 to MediumBowl2","{'type':'command','expressions':[[]],'commands':['robot(x0) -> transfer(x0, MediumBowl1, MediumBowl2).']}"
"Transfer contents of MediumBowl1 to another bowl","{'type':'command','expressions':[['|exists x2 (bowl(x2)).| >= 1']],'commands':['robot(x0) & bowl(x2) -> transfer(x0, MediumBowl1, x2).']}"
"Transfer contents from mediumBowl1 to a large bowl","{'type':'command','expressions':[['|exists x2 (largeBowl(x2)).| >= 1']],'commands':['robot(x0) & largeBowl(x2) -> transfer(x0, MediumBowl1, x2).']}"
"Transfer the contents of bowl Bowl1 to a medium bowl","{'type':'command','expressions':[['|exists x2 (mediumBowl(x2)).| >= 1']],'commands':['robot(x0) & bowl(Bowl1) & mediumBowl(x2) -> transfer(x0, Bowl1, x2).']}"
"Sprinkle powdered sugar over the baking tray","{'type':'command','expressions':[['|exists x1 (powderedSugar(x1)).| >= 1','|exists x2 (bakingTray(x2)).| >= 1']],'commands':['robot(x0) & powderedSugar(x1) & bakingTray(x2) -> sprinkle(x0, x1, x2).']}"
"Sprinkle powdered sugar over BakingTray1","{'type':'command','expressions':[['|exists x1 (powderedSugar(x1)).| >= 1']],'commands':['robot(x0) & powderedSugar(x1) -> sprinkle(x0, x1, BakingTray1).']}"
"Sprinkle powdered sugar over tray Tray1","{'type':'command','expressions':[['|exists x1 (powderedSugar(x1)).| >= 1']],'commands':['robot(x0) & powderedSugar(x1) & bakingTray(Tray1) -> sprinkle(x0, x1, Tray1).']}"
"Sprinkle powdered sugar over some trays","{'type':'command','expressions':[['|exists x1 (powderedSugar(x1)).| >= 1','|exists x2 (bakingTray(x2)).| >= 4']],'commands':['robot(x0) & powderedSugar(x1) & bakingTray(x2) -> sprinkle(x0, x1, x2).']}"
"Sprinkle powdered sugar over many trays","{'type':'command','expressions':[['|exists x1 (powderedSugar(x1)).| >= 1','|exists x2 (bakingTray(x2)).| >= 10']],'commands':['robot(x0) & powderedSugar(x1) & bakingTray(x2) -> sprinkle(x0, x1, x2).']}"
"Sprinkle powdered sugar PS1 over many trays","{'type':'command','expressions':[['|exists x2 (bakingTray(x2)).| >= 10']],'commands':['robot(x0) & powderedSugar(PS1) & bakingTray(x2) -> sprinkle(x0, PS1, x2).']}"
"Dust Sugar1 over many trays","{'type':'command','expressions':[['|exists x2 (bakingTray(x2)).| >= 10']],'commands':['robot(x0) & bakingTray(x2) -> sprinkle(x0, Sugar1, x2).']}"
"Sprinkle powdered sugar over a few trays","{'type':'command','expressions':[['|exists x1 (powderedSugar(x1)).| >= 1','|exists x2 (bakingTray(x2)).| >= 3']],'commands':['robot(x0) & powderedSugar(x1) & bakingTray(x2) -> sprinkle(x0, x1, x2).']}"
"Dust powdered sugar over tray Tray1","{'type':'command','expressions':[['|exists x1 (powderedSugar(x1)).| >= 1']],'commands':['robot(x0) & powderedSugar(x1) & bakingTray(Tray1) -> sprinkle(x0, x1, Tray1).']}"
"Sprinkle the contents of PowderedSugar1 over BakingTray1","{'type':'command','expressions':[[]],'commands':['robot(x0) -> sprinkle(x0, PowderedSugar1, BakingTray1).']}"
"Sprinkle powdered sugar PS1 over BT1","{'type':'command','expressions':[[]],'commands':['robot(x0) & powderedSugar(PS1) -> sprinkle(x0, PS1, BT1).']}"
"Sprinkle the contents of powdered sugar PS1 over BT1 and BT2","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & powderedSugar(PS1) -> sprinkle(x0, PS1, BT1).','robot(x0) & powderedSugar(PS1) -> sprinkle(x0, PS1, BT2).']}"
"Dust PS1 over BT1 and BT2","{'type':'command','expressions':[[],[]],'commands':['robot(x0) -> sprinkle(x0, PS1, BT1).','robot(x0) -> sprinkle(x0, PS1, BT2).']}"
"Sprinkle PS1 over baking tray Tray1","{'type':'command','expressions':[[]],'commands':['robot(x0) & bakingTray(Tray1) -> sprinkle(x0, PS1, Tray1).']}"
"Dust SugarBag1 over bowls Bowl3 and Bowl2","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & bowl(Bowl3) -> sprinkle(x0, SugarBag1, Bowl3).','robot(x0) & bowl(Bowl2) -> sprinkle(x0, SugarBag1, Bowl2).']}"
"Sprinkle powdered sugar over BT1 and BT2","{'type':'command','expressions':[['|exists x1 (powderedSugar(x1)).| >= 1'],['|exists x1 (powderedSugar(x1)).| >= 1']],'commands':['robot(x0) & powderedSugar(PS1) -> sprinkle(x0, PS1, BT1).','robot(x0) & powderedSugar(PS1) -> sprinkle(x0, PS1, BT2).']}"
"Shape contents of bowl and place the results into a baking tray","{'type':'command','expressions':[['|exists x1 (bowl(x1)).| >= 1','|exists x2 (bakingTray(x2)).| >= 1']],'commands':['robot(x0) & bowl(x1) & bakingTray(x2) -> shape(x0, x1, x2).']}"
"Shape LargeBowl1 into clumps and place them into a baking tray","{'type':'command','expressions':[['|exists x2 (bakingTray(x2)).| >= 1']],'commands':['robot(x0) & bakingTray(x2) -> shape(x0, LargeBowl1, x2).']}"
"Mold LargeBowl1 into clumps and place them into a bowl","{'type':'command','expressions':[['|exists x2 (bowl(x2)).| >= 1']],'commands':['robot(x0) & bowl(x2) -> shape(x0, LargeBowl1, x2).']}"
"Shape bowl LargeBowl1 into clumps and place them into a medium bowl","{'type':'command','expressions':[['|exists x2 (mediumBowl(x2)).| >= 1']],'commands':['robot(x0) & bowl(LargeBowl1) & mediumBowl(x2) -> shape(x0, LargeBowl1, x2).']}"
"Shape LargeBowl1 and put everything in another bowl","{'type':'command','expressions':[['|exists x2 (bowl(x2)).| >= 1']],'commands':['robot(x0) & bowl(x2) -> shape(x0, LargeBowl1, x2).']}"
"mold LargeBowl1 and put the results in another bowl","{'type':'command','expressions':[['|exists x2 (bowl(x2)).| >= 1']],'commands':['robot(x0) & bowl(x2) -> shape(x0, LargeBowl1, x2).']}"
"Shape bowl LargeBowl1 into clumps and place them into a baking tray","{'type':'command','expressions':[['|exists x2 (bakingTray(x2)).| >= 1']],'commands':['robot(x0) & bowl(LargeBowl1) & bakingTray(x2) -> shape(x0, LargeBowl1, x2).']}"
"Mold largeBowl1 and put it inside bakingTray1","{'type':'command','expressions':[[]],'commands':['robot(x0) -> shape(x0, LargeBowl1, BakingTray1).']}"
"Shape largeBowl1 and mediumBowl5 and put them inside bakingTray1","{'type':'command','expressions':[[],[]],'commands':['robot(x0) -> shape(x0, LargeBowl1, BakingTray1).','robot(x0) -> shape(x0, MediumBowl5, BakingTray1).']}"
"Shape bowls largeBowl1 and mediumBowl5 and put them inside bakingTray1","{'type':'command','expressions':[[],[]],'commands':['robot(x0) & bowl(LargeBowl1) -> shape(x0, LargeBowl1, BakingTray1).','robot(x0) & bowl(MediumBowl5) -> shape(x0, MediumBowl5, BakingTray1).']}"
"Shape LB2 and LB5 and put the results in T1","{'type':'command','expressions':[[],[]],'commands':['robot(x0) -> shape(x0, LB2, T1).','robot(x0) -> shape(x0, LB5, T1).']}"
"Mold LargeBowl1 and put the clumps into BakingTray1","{'type':'command','expressions':[[]],'commands':['robot(x0) -> shape(x0, LargeBowl1, BakingTray1).']}"
"Shape 2 baking trays and put the clumps into baking tray","{'type':'command','expressions':[['|exists x1 (bakingTray(x1)).| >= 1','|exists x2 (bakingTray(x2)).| >= 1']],'commands':['robot(x0) & bakingTray(x1) & bakingTray(x2)-> shape(x0, x1, x2).']}"
"Most vegetables are red onions","{'type':'query','expressions':['|exists x0 (vegetable(x0) & redOnion(x0)).| > |exists x0 (vegetable(x0) & -redOnion(x0)).|']}"
"Most of the ingredients are vegetables","{'type':'query','expressions':['|exists x0 (ingredient(x0) & vegetable(x0)).| > |exists x0 (ingredient(x0) & -vegetable(x0)).|']}"
"Most cutting tools are cooking knives","{'type':'query','expressions':['|exists x0 (cuttingTool(x0) & cookingKnife(x0)).| > |exists x0 (cuttingTool(x0) & -cookingKnife(x0)).|']}"
"Majority of cutting tools are knives","{'type':'query','expressions':['|exists x0 (cuttingTool(x0) & cookingKnife(x0)).| > |exists x0 (cuttingTool(x0) & -cookingKnife(x0)).|']}"
"Majority of peppers are green chili peppers","{'type':'query','expressions':['|exists x0 (pepper(x0) & greenChiliPepper(x0)).| > |exists x0 (pepper(x0) & -greenChiliPepper(x0)).|']}"
"It is not true that the majority of peppers are red chili peppers","{'type':'query','expressions':['|exists x0 (pepper(x0) & redChiliPepper(x0)).| < |exists x0 (pepper(x0) & -redChiliPepper(x0)).|']}"
"More than half of the peppers are red peppers","{'type':'query','expressions':['|exists x0 (pepper(x0) & redPepper(x0)).| > |exists x0 (pepper(x0) & -redPepper(x0)).|']}"
"At least half the vegetables are brown onions","{'type':'query','expressions':['|exists x0 (vegetable(x0) & brownOnion(x0)).| >= |exists x0 (vegetable(x0) & -brownOnion(x0)).|']}"
"Less than half of the peppers are green peppers","{'type':'query','expressions':['|exists x0 (pepper(x0) & greenPepper(x0)).| < |exists x0 (pepper(x0) & -greenPepper(x0)).|']}"
"There are twice as many onions than carrots","{'type':'query','expressions':['|exists x0 (onion(x0)).| == 2 * |exists x0 (carrot(x0)).|']}"
"There are two kitchen counters","{'type':'query','expressions':['|exists x0 (kitchenCounter(x0)).| >= 2']}"
"There are not two kitchen counters","{'type':'query','expressions':['|exists x0 (kitchenCounter(x0)).| != 2']}"
"The number of peppers is not 10","{'type':'query','expressions':['|exists x0 (pepper(x0)).| != 10']}"
"The number of peppers is not exactly twelve","{'type':'query','expressions':['|exists x0 (pepper(x0)).| != 12']}"
"There are exactly 2 ovens","{'type':'query','expressions':['|exists x0 (oven(x0)).| == 2']}"
"There are exactly 4 bowls","{'type':'query','expressions':['|exists x0 (bowl(x0)).| == 4']}"
"exactly 1 oven","{'type':'query','expressions':['|exists x0 (oven(x0)).| == 1']}"
"There are 4 ovens","{'type':'query','expressions':['|exists x0 (oven(x0)).| >= 4']}"
"At least 2 cutting boards?","{'type':'query','expressions':['|exists x0 (cuttingBoard(x0)).| >= 2']}"
"There are at least twelve whisks","{'type':'query','expressions':['|exists x0 (whisk(x0)).| >= 12']}"
"There are at least nine whisks in the kitchen","{'type':'query','expressions':['|exists x0 (whisk(x0)).| >= 9']}"
"There are at most three broccoli stems","{'type':'query','expressions':['|exists x0 (broccoliStem(x0)).| <= 3']}"
"At most three broccoli stems","{'type':'query','expressions':['|exists x0 (broccoliStem(x0)).| <= 3']}"
"There are at most 7 spoons","{'type':'query','expressions':['|exists x0 (spoon(x0)).| <= 7']}"
"Less than 10 tea spoons","{'type':'query','expressions':['|exists x0 (teaSpoons(x0)).| < 10']}"
"There are less than five spatulas","{'type':'query','expressions':['|exists x0 (spatula(x0)).| < 5']}"
"There are more small bowls than large bowls","{'type':'query','expressions':['|exists x0 (smallBowl(x0)).| > |exists x0 (largeBowl(x0)).|']}"
"There are more bowls than baking trays","{'type':'query','expressions':['|exists x0 (bowl(x0)).| > |exists x0 (bakingTray(x0)).|']}"
"There are more onions than carrots and broccoli combined","{'type':'query','expressions':['|exists x0 (onion(x0)).| > |exists x0 (carrot(x0)).| + |exists x0 (broccoli(x0)).|']}"
"More green chili peppers than red chili peppers","{'type':'query','expressions':['|exists x0 (greenChiliPepper(x0)).| > |exists x0 (redChiliPepper(x0)).|']}"
"There are not more green chili peppers than red chili peppers","{'type':'query','expressions':['|exists x0 (greenChiliPepper(x0)).| <= |exists x0 (redChiliPepper(x0)).|']}"
"More small bowls than large bowls and medium bowls","{'type':'query','expressions':['|exists x0 (smallBowl(x0)).| > |exists x0 (largeBowl(x0)).| + |exists x0 (mediumBowl(x0)).|']}"
"There are less small bowls than large bowls and medium bowls","{'type':'query','expressions':['|exists x0 (smallBowl(x0)).| < |exists x0 (largeBowl(x0)).| + |exists x0 (mediumBowl(x0)).|']}"
"There are less apples than pears","{'type':'query','expressions':['|exists x0 (apple(x0)).| < |exists x0 (pear(x0)).|']}"
"There are less green chili peppers than red chili peppers","{'type':'query','expressions':['|exists x0 (greenChiliPepper(x0)).| < |exists x0 (redChiliPepper(x0)).|']}"
"There are many onions","{'type':'query','expressions':['|exists x0 (onion(x0)).| >= 10']}"
"many vegetables in the kitchen","{'type':'query','expressions':['|exists x0 (vegetable(x0)).| >= 10']}"
"There are a lot of carrots","{'type':'query','expressions':['|exists x0 (carrot(x0)).| >= 10']}"
"There are not many small bowls","{'type':'query','expressions':['|exists x0 (smallBowl(x0)).| < 10']}"
"There is a cup","{'type':'query','expressions':['|exists x0 (cup(x0)).| >= 1']}"
"There is exactly one cup","{'type':'query','expressions':['|exists x0 (cup(x0)).| == 1']}"
"There is only one cup","{'type':'query','expressions':['|exists x0 (cup(x0)).| == 1']}"
"There are several bread slices","{'type':'query','expressions':['|exists x0 (breadSlice(x0)).| >= 5']}"
"There are several doughnuts","{'type':'query','expressions':['|exists x0 (doughnut(x0)).| >= 5']}"
"Several apples in the kitchen","{'type':'query','expressions':['|exists x0 (apple(x0)).| >= 5']}"
"There are at least a few bananas","{'type':'query','expressions':['|exists x0 (banana(x0)).| >= 3']}"
"In the kitchen there are a few strawberries","{'type':'query','expressions':['|exists x0 (strawberry(x0)).| >= 3']}"
"There are a few potatoes","{'type':'query','expressions':['|exists x0 (potato(x0)).| >= 3']}"
"a few tomatoes","{'type':'query','expressions':['|exists x0 (tomato(x0)).| >= 3']}"
"There are only a few onions","{'type':'query','expressions':['|exists x0 (onion(x0)).| <= 3']}"
"There are quite a few onions","{'type':'query','expressions':['|exists x0 (onion(x0)).| <= 3']}"
"There are a couple of baby carrots","{'type':'query','expressions':['|exists x0 (babyCarrots(x0)).| >= 2']}"
"A couple of mangoes in the kitchen","{'type':'query','expressions':['|exists x0 (mango(x0)).| >= 2']}"
"A couple of tomatoes","{'type':'query','expressions':['|exists x0 (tomato(x0)).| >= 2']}"
"There are some red chili peppers","{'type':'query','expressions':['|exists x0 (redChiliPepper(x0)).| >= 4']}"
"There are some tomatoes","{'type':'query','expressions':['|exists x0 (tomato(x0)).| >= 4']}"
"In the kitchen there are some peppers","{'type':'query','expressions':['|exists x0 (pepper(x0)).| >= 4']}"
"There are some bananas","{'type':'query','expressions':['|exists x0 (banana(x0)).| >= 4']}"
"There are more than a few spatulas","{'type':'query','expressions':['|exists x0 (spatula(x0)).| > 3']}"
"There are 2 times more broccoli stems than forks","{'type':'query','expressions':['|exists x0 (broccoliStem(x0)).| == 2 * |exists x0 (fork(x0)).|']}"
"There are 3 times more potatoes than tomatoes","{'type':'query','expressions':['|exists x0 (potato(x0)).| == 3 * |exists x0 (tomato(x0)).|']}"
"Four times more tomatoes than potatoes","{'type':'query','expressions':['|exists x0 (tomato(x0)).| == 4 * |exists x0 (potato(x0)).|']}"
"The number of bananas is half the number of mangoes","{'type':'query','expressions':['|exists x0 (banana(x0)).| == |exists x0 (mango(x0)).| / 2']}"
"The number of apples is half the number of pears","{'type':'query','expressions':['|exists x0 (apple(x0)).| == |exists x0 (pear(x0)).| / 2']}"
"The number of bananas is less than half of the number of mangoes","{'type':'query','expressions':['|exists x0 (banana(x0)).| < |exists x0 (mango(x0)).| / 2']}"
"There are a few times more broccoli stems than cherry tomatoes","{'type':'query','expressions':['|exists x0 (broccoliStem(x0)).| >= 3 * |exists x0 (cherryTomato(x0)).|']}"
"There are half a dozen eggs","{'type':'query','expressions':['|exists x0 (egg(x0)).| >= 6']}"
